,date,title,author,publisher,description
9643,2/14/2010,THE BURNING LAND, Bernard Cornwell,Harper/HarperCollins,The ninth-century Saxon warrior Uhtred breaks with King Alfred but returns to fight the Danes.
9644,2/14/2010,IMPACT, Douglas Preston,Forge,Scientists race to defuse a doomsday weapon pointed at Earth from one of the moons of Mars.
9645,2/14/2010,"I, SNIPER", Stephen Hunter,Simon &amp; Schuster,"

Bob Lee Swagger discovers that the murder of four ’60s radicals is more complicated than it seems."
9646,2/14/2010,NOAH’S COMPASS, Anne Tyler,Knopf,A retired teacher with a head injury struggles to regain his memory and his engagement in life.
9647,2/7/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9648,2/7/2010,KISSER, Stuart Woods,Putnam,"Stone Barrington, the New York cop turned lawyer, pursues a case of financial fraud on the Upper East Side."
9649,2/7/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9650,2/7/2010,THE BURNING LAND, Bernard Cornwell,Harper/HarperCollins,"In the fifth of the Saxon Tales, the ninth-century Saxon warrior Uhtred breaks with King Alfred, but eventually returns to help fight the Danes."
9651,2/7/2010,THE FIRST RULE, Robert Crais,Putnam,"

Elvis Cole and his partner, Joe Pike, set out to clear the reputation of a former military contractor who has been murdered."
9652,2/7/2010,THE LAST SONG, Nicholas Sparks,Grand Central,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.
9653,2/7/2010,THE SWAN THIEVES, Elizabeth Kostova,"Little, Brown",A psychiatrist who treats a man who slashed a canvas in the National Gallery is drawn into the world of French Impressionism; from the author of “The Historian.”
9654,2/7/2010,THE WOLF AT THE DOOR, Jack Higgins,Putnam,"Someone is targeting the members of an elite British intelligence team, and Sean Dillon believes it is an old nemesis."
9655,2/7/2010,ROSES, Leila Meacham,Grand Central,Three generations in a small East Texas town.
9656,2/7/2010,IMPACT, Douglas Preston,Forge,Scientists race to defuse a doomsday weapon pointed at Earth from one of the moons of Mars.
9657,2/7/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9658,2/7/2010,NOAH’S COMPASS, Anne Tyler,Knopf,A retired teacher with a head injury struggles to regain his memory and his engagement in life.
